20260812121146	function	public.chat_inbox_page
20260812121146	function	public.chat_thread_page
20260812121146	function	public.chat_unread_total
20260812144500	function	app_private.superadmin_create_activity_template
20260812144500	function	public.superadmin_create_activity_template
20260812144500	table	app_private.activity_template_create_receipts
20260813120000	function	public.meal_plan_conflicts_check
20260813120000	function	public.meal_plan_create_or_update_draft
20260813120000	function	public.meal_plan_effective_snapshot
20260813120000	function	public.meal_plan_get
20260813120000	function	public.meal_plan_json
20260813120000	function	public.meal_plan_list
20260813120000	function	public.meal_plan_publish
20260813120000	function	public.meal_plan_submit_for_review
20260813120000	table	public.meal_plans
20260820150000	function	app_private.meal_plan_scope_allowed
20260820150000	function	public.meal_plan_conflicts_check
20260820150000	function	public.meal_plan_create_or_update_draft
20260820150000	function	public.meal_plan_effective_snapshot
20260820150000	function	public.meal_plan_get
20260820150000	function	public.meal_plan_list
20260820150000	function	public.meal_plan_publish
20260820150500	function	app_private.meal_plan_scope_allowed
20260820160000	function	app_private.meal_plan_validate_target
20260820160000	function	public.meal_plan_audience_options
20260820160000	function	public.meal_plan_audience_resolve_occurrence
20260820160000	function	public.meal_plan_create_or_update_draft
20260820160000	function	public.meal_plan_json
20260820160000	function	public.meal_plan_template_get
20260820160000	function	public.meal_plan_template_list
20260820160000	function	public.meal_plan_template_save
20260820160000	table	public.meal_plan_audience_snapshots
20260820160000	table	public.meal_plan_audiences
20260820160000	table	public.meal_plan_availability
20260820160000	table	public.meal_plan_meal_items
20260820160000	table	public.meal_plan_meals
20260820160000	table	public.meal_plan_scopes
20260820160000	table	public.meal_plan_template_links
20260820160000	table	public.meal_plan_template_versions
20260820160000	table	public.meal_plan_templates
20260820171000	function	app_private.can_delete_meal_plan_image_object
20260820171000	function	app_private.can_read_meal_plan_image_object
20260820171000	function	app_private.can_upload_meal_plan_image_object
20260820171000	function	app_private.meal_plan_finalize_image_upload
20260820171000	function	app_private.meal_plan_image_asset_parent_guard
20260820171000	function	app_private.meal_plan_image_download_descriptor
20260820171000	function	app_private.meal_plan_prepare_image_upload
