"manifest_id","version","name","path","size","sha256_raw","sha256_lf_normalized","origin","local_relation","classification","remote_statement_evidence"
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260720180000","people_context_foundation","remote://supabase_migrations/schema_migrations/20260720180000",,,,"remote-ledger","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260720190000","people_context_advisor_hardening","packages/coelo_database/migrations/20260720190000_people_context_advisor_hardening.sql","1705","916696126dddd0b64aa4d8fcf484c8fe26b7191c48f990e7c51a5cdbbcdf893a","d8acf9e53b64da343f04a79916f46e7097554fbb65d4d7fc8340f06119fdbd3d","canonical","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260720190000","people_context_advisor_hardening","recovery://Coelo-recovery-20260827-153001-final-residue/mirror-before-reconcile/20260720190000_people_context_advisor_hardening.sql","1661","d8acf9e53b64da343f04a79916f46e7097554fbb65d4d7fc8340f06119fdbd3d","d8acf9e53b64da343f04a79916f46e7097554fbb65d4d7fc8340f06119fdbd3d","recovery","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260720190000","people_context_advisor_hardening","remote://supabase_migrations/schema_migrations/20260720190000",,,,"remote-ledger","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260724120307","contextual_activities_foundation","packages/coelo_database/migrations/20260724120307_contextual_activities_foundation.sql","60783","6625f904248ab5a36e7d665616bd5b2cab74dd31279442e0493968ea08eb5fd9","3583af857bf956ddc0193423e471680ba100c0fdf4f06964457903d2eaee9d91","canonical","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260724120307","contextual_activities_foundation","recovery://Coelo-recovery-20260827-153001-final-residue/mirror-before-reconcile/20260724120307_contextual_activities_foundation.sql","58981","3583af857bf956ddc0193423e471680ba100c0fdf4f06964457903d2eaee9d91","3583af857bf956ddc0193423e471680ba100c0fdf4f06964457903d2eaee9d91","recovery","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260724120307","contextual_activities_foundation","remote://supabase_migrations/schema_migrations/20260724120307",,,,"remote-ledger","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260724122545","contextual_activities_fk_index_hardening","packages/coelo_database/migrations/20260724122545_contextual_activities_fk_index_hardening.sql","1336","fecec02870b5462b49001afbe5aea737ae439bef76d493ee339bf78cf3747771","64e02fe2c95b8a803162707887307d7ae73a51cafc377fb888b6dc23d564e00d","canonical","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260724122545","contextual_activities_fk_index_hardening","recovery://Coelo-recovery-20260827-153001-final-residue/mirror-before-reconcile/20260724122545_contextual_activities_fk_index_hardening.sql","1307","64e02fe2c95b8a803162707887307d7ae73a51cafc377fb888b6dc23d564e00d","64e02fe2c95b8a803162707887307d7ae73a51cafc377fb888b6dc23d564e00d","recovery","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260724122545","contextual_activities_fk_index_hardening","remote://supabase_migrations/schema_migrations/20260724122545",,,,"remote-ledger","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260724152628","contextual_authorization_core","packages/coelo_database/migrations/20260724152628_contextual_authorization_core.sql","21718","bcdc37b5ceda56ecbe3d71f9c30a59f3d48c1a878519da45ca37c2245d467795","9cfacd304de6ed66a7804ddf868d817f40f8ea96b58f8bbaf537d3d9c7a90e1d","canonical","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260724152628","contextual_authorization_core","recovery://Coelo-recovery-20260827-153001-final-residue/mirror-before-reconcile/20260724152628_contextual_authorization_core.sql","21186","9cfacd304de6ed66a7804ddf868d817f40f8ea96b58f8bbaf537d3d9c7a90e1d","9cfacd304de6ed66a7804ddf868d817f40f8ea96b58f8bbaf537d3d9c7a90e1d","recovery","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260724152628","contextual_authorization_core","remote://supabase_migrations/schema_migrations/20260724152628",,,,"remote-ledger","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260724152707","family_authorizations_and_transfers","packages/coelo_database/migrations/20260724152707_family_authorizations_and_transfers.sql","43123","36168d2c22d9d2d08c433d26fc9e10164f6cc3da8b38bdc916ec443655040f8f","078aedc27c1426936d6f1087a53d375e23e6254eedf3956a47392c149dbfaf0f","canonical","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260724152707","family_authorizations_and_transfers","recovery://Coelo-recovery-20260827-153001-final-residue/mirror-before-reconcile/20260724152707_family_authorizations_and_transfers.sql","42162","078aedc27c1426936d6f1087a53d375e23e6254eedf3956a47392c149dbfaf0f","078aedc27c1426936d6f1087a53d375e23e6254eedf3956a47392c149dbfaf0f","recovery","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260724152707","family_authorizations_and_transfers","remote://supabase_migrations/schema_migrations/20260724152707",,,,"remote-ledger","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260724152713","activity_governance_and_participation","packages/coelo_database/migrations/20260724152713_activity_governance_and_participation.sql","18255","29d3682bfe4875557ad3c2b1a69d1dc92d076a46a709f8f161bcede2d8fead6c","659021b8d03feb633b5a121740375a672e8a56abd1d0254ef4f8ed622f8c3a78","canonical","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260724152713","activity_governance_and_participation","recovery://Coelo-recovery-20260827-153001-final-residue/mirror-before-reconcile/20260724152713_activity_governance_and_participation.sql","17826","659021b8d03feb633b5a121740375a672e8a56abd1d0254ef4f8ed622f8c3a78","659021b8d03feb633b5a121740375a672e8a56abd1d0254ef4f8ed622f8c3a78","recovery","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260724152713","activity_governance_and_participation","remote://supabase_migrations/schema_migrations/20260724152713",,,,"remote-ledger","eol-equivalent","remote-version+head-present",
"953681023d3ed4f24c5d0c74c43aecbba2095e3d927ced3363887279e7a2b4f8","20260724152722","contextual_chat_foundation","packages/coelo_database/migrations/20260724152722_contextual_chat_foundation.sql","23404","d85b1b1efa3a2690800cb0ee2e1f77509b45b76a67152e1d20dfa3c36908a117","a0f0c0375ce21049e4ccee1e8005b719e1b3fe280c237c8a0bdc79d3f9a18e30","canonical","eol-equivalent","remote-version+head-present",
